Date,Time,Magnitude,Depth,population_impacted,dangerosite_adjusted
09/08/1965,03:26:22,5.7,0.03875968992248062,4.774508145178703e-06,elevee
09/09/1965,10:02:26,6.2,0.023255813953488372,0.0,faible
09/11/1965,06:53:01,6.2,0.06914728682170543,0.0,faible
09/12/1965,08:40:10,6.1,0.023255813953488372,2.7545674324109166e-05,elevee
09/12/1965,22:02:35,6.3,0.03875968992248062,0.0,faible
09/13/1965,13:07:51,5.9,0.029302325581395346,4.34753110643308e-07,faible
09/13/1965,16:15:45,6.1,0.023255813953488372,0.0,faible
09/14/1965,08:27:18,5.8,0.05426356589147287,0.0009248513526449497,moderee
09/16/1965,13:50:12,6.0,0.24806201550387597,0.003226603980141117,moderee
09/17/1965,11:13:57,6.5,0.2882170542635659,2.702114292882895e-05,elevee
09/17/1965,14:22:38,5.8,0.05426356589147287,0.0008682189279297355,moderee
09/17/1965,15:18:36,5.9,0.05426356589147287,0.0009132812645768211,moderee
09/17/1965,16:21:20,6.8,0.05426356589147287,0.0014446987249802537,moderee
09/18/1965,22:03:12,6.0,0.03875968992248062,0.0005696842171275683,moderee
09/21/1965,01:38:31,6.7,0.3063565891472868,0.0,faible
09/22/1965,04:24:50,5.9,0.05426356589147287,7.658299754216606e-05,elevee
09/22/1965,20:01:50,5.9,0.08527131782945736,4.404720580662419e-05,elevee
09/22/1965,22:08:01,6.3,0.05426356589147287,0.0011563464268702917,moderee
09/24/1965,23:53:43,5.6,0.06976744186046512,0.00016355906863340188,moderee
09/25/1965,14:53:34,5.7,0.04263565891472868,0.0,faible
09/26/1965,21:33:52,5.8,0.015503875968992248,2.8276625082491576e-09,faible
09/27/1965,05:09:13,5.6,0.05426356589147287,0.0,faible
09/28/1965,05:06:40,6.5,0.03875968992248062,0.0,faible
09/30/1965,23:47:42,6.1,0.031007751937984496,0.0,faible
10/01/1965,08:52:06,6.8,0.030542635658914727,0.0,faible
10/01/1965,13:22:29,6.2,0.8457364341085272,0.0,faible
10/01/1965,22:34:23,6.0,0.015503875968992248,0.0,faible
10/03/1965,14:45:31,5.9,0.07751937984496124,0.0,faible
10/03/1965,16:14:57,5.9,0.03441860465116279,5.429112015838382e-07,faible
10/07/1965,03:36:02,5.9,0.031007751937984496,0.0,faible
10/10/1965,17:25:41,5.8,0.031007751937984496,0.0,faible
10/12/1965,13:41:01,5.6,0.03875968992248062,5.1604840775547125e-08,faible
10/16/1965,08:22:55,5.7,0.2982945736434109,1.3700024852467168e-06,faible
10/17/1965,01:53:35,5.7,0.023255813953488372,0.0,faible
10/18/1965,21:50:07,6.3,0.03875968992248062,0.0,faible
10/19/1965,20:48:49,6.1,0.05426356589147287,0.0,faible
10/23/1965,06:00:54,5.6,0.06976744186046512,4.29804701253872e-06,elevee
10/24/1965,14:32:11,5.9,0.2249612403100775,0.0,faible
10/24/1965,18:15:10,5.6,0.09302325581395349,0.0,faible
10/25/1965,22:34:24,6.7,0.26356589147286824,0.00010216768791680444,moderee
10/28/1965,08:58:27,5.6,0.03875968992248062,0.0,faible
11/03/1965,01:39:04,6.7,0.9206201550387596,1.2088964138392211e-05,moderee
11/03/1965,18:21:08,6.1,0.023255813953488372,0.0,faible
11/05/1965,19:01:04,5.9,0.023255813953488372,7.414625937568234e-05,elevee
11/06/1965,09:21:47,6.2,0.023255813953488372,0.0,faible
11/12/1965,17:52:24,6.4,0.031007751937984496,0.0,faible
11/13/1965,04:33:52,6.5,0.05426356589147287,0.006911340184543746,moderee
11/13/1965,17:59:43,5.7,0.06976744186046512,5.328023081168475e-05,elevee
11/14/1965,05:54:13,5.7,0.06201550387596899,0.0014826233345408913,moderee
11/15/1965,11:18:50,6.1,0.015503875968992248,0.0,faible
11/16/1965,06:45:59,5.9,0.17054263565891473,0.0007651350773602583,moderee
11/16/1965,15:24:44,6.0,0.015503875968992248,0.0,faible
11/16/1965,17:05:41,5.7,0.14682170542635659,3.741775105603404e-05,elevee
11/18/1965,17:17:20,5.6,0.24806201550387597,0.0,faible
11/18/1965,20:00:21,6.5,0.6666666666666666,0.0,faible
11/18/1965,21:58:19,6.0,0.06976744186046512,0.0,faible
11/20/1965,15:05:42,5.8,0.22930232558139535,0.0,faible
11/21/1965,10:31:55,6.5,0.2066666666666667,0.0,faible
11/22/1965,14:00:30,5.7,0.08527131782945736,1.2088257222765148e-07,faible
11/22/1965,20:25:31,5.9,0.03875968992248062,0.0,faible
11/23/1965,01:17:30,6.2,0.031007751937984496,0.0,faible
11/23/1965,02:17:50,5.6,0.046511627906976744,0.0,faible
11/23/1965,16:31:06,5.8,0.08527131782945736,3.6626712469351336e-05,elevee
11/27/1965,08:42:24,5.6,0.09302325581395349,0.0,faible
11/27/1965,12:01:56,5.8,0.10852713178294573,3.939075257116489e-05,elevee
11/28/1965,03:56:46,6.2,0.03875968992248062,0.0001271734143928788,moderee
11/28/1965,05:26:06,5.9,0.12000000000000001,0.00012090519352771747,moderee
11/28/1965,21:31:45,5.8,0.09302325581395349,9.462913966981218e-05,elevee
12/04/1965,02:11:50,5.8,0.023255813953488372,0.0,faible
12/05/1965,18:14:52,5.6,0.05426356589147287,0.0,faible
12/06/1965,11:34:55,6.7,0.03875968992248062,0.0,faible
12/07/1965,22:19:17,6.3,0.18992248062015504,0.00018841987740592848,moderee
12/08/1965,18:05:27,6.0,0.2713178294573643,1.9781619992084045e-05,elevee
12/09/1965,06:07:47,6.4,0.05426356589147287,0.0007297461741538931,moderee
12/09/1965,13:12:56,6.2,1.0,0.0,faible
12/10/1965,21:53:19,5.9,0.08186046511627906,2.105194737391498e-06,elevee
12/13/1965,10:52:11,6.0,0.04527131782945736,0.0,faible
12/13/1965,14:46:12,5.6,0.035813953488372095,0.0,faible
12/15/1965,19:19:49,5.8,0.023255813953488372,0.0,faible
12/15/1965,23:05:25,6.3,0.03875968992248062,7.501293793446071e-05,elevee
12/22/1965,00:28:51,5.8,0.041705426356589144,0.0,faible
12/22/1965,19:41:24,6.1,0.08124031007751938,4.645849501053366e-06,elevee
12/23/1965,20:47:38,5.6,0.03116279069767442,0.0,faible
12/25/1965,02:57:59,6.2,0.964031007751938,0.0,faible
12/26/1965,03:53:12,5.9,0.1241860465116279,4.404720580662419e-05,elevee
12/28/1965,20:32:27,5.8,0.06976744186046512,2.1362990249822385e-06,elevee
12/30/1965,02:06:35,5.6,0.05426356589147287,1.1635831221445283e-06,faible
12/30/1965,06:16:04,5.8,0.15503875968992248,0.0010499810739599913,moderee
01/05/1966,17:21:29,5.8,0.03875968992248062,0.0,faible
01/11/1966,03:10:54,5.9,0.05426356589147287,0.0,faible
01/11/1966,14:16:32,6.0,0.023255813953488372,5.662747630582469e-05,elevee
01/13/1966,10:41:14,5.7,0.03488372093023256,0.0,faible
01/16/1966,09:11:51,5.8,0.03488372093023256,0.0,faible
01/20/1966,01:44:47,5.8,0.015503875968992248,0.0019671772372794835,moderee
01/22/1966,14:27:09,6.2,0.031007751937984496,0.0,faible
01/24/1966,07:23:10,5.8,0.015503875968992248,0.0011223119740053778,moderee
01/26/1966,01:00:14,5.6,0.09302325581395349,0.0,faible
01/28/1966,05:42:17,6.0,0.015503875968992248,0.0001838623923582579,moderee
01/28/1966,22:38:14,5.6,0.17922480620155037,1.5431968138769778e-06,elevee
01/31/1966,14:01:24,5.7,0.03875968992248062,0.00022909509567146556,moderee
02/03/1966,05:48:11,5.7,0.24589147286821705,0.001040340158638116,moderee
02/03/1966,11:58:36,5.7,0.09472868217054264,1.0,moderee
02/03/1966,17:57:42,5.8,0.03875968992248062,0.0005712528629040196,moderee
02/04/1966,10:39:12,6.4,0.27906976744186046,0.0001637612465027417,moderee
02/05/1966,02:01:45,6.2,0.015503875968992248,0.008923069365387577,moderee
02/05/1966,15:12:31,6.4,0.015503875968992248,0.000563835904144882,moderee
02/05/1966,16:16:05,5.9,0.18511627906976746,1.7722374770451594e-06,elevee
02/07/1966,04:26:13,6.5,0.015503875968992248,0.0006274710350617752,moderee
02/07/1966,23:06:36,6.5,0.015503875968992248,0.0008278766669245447,moderee
02/09/1966,04:40:32,6.3,0.06201550387596899,0.0,faible
02/09/1966,07:18:50,5.8,0.06976744186046512,0.0,faible
02/10/1966,05:29:15,5.8,0.05426356589147287,0.0,faible
02/10/1966,14:21:13,6.5,0.07085271317829457,0.0,faible
02/13/1966,06:36:01,6.0,0.05426356589147287,2.8276625082491574e-07,faible
02/13/1966,10:44:40,5.9,0.015503875968992248,0.0048118332902875914,moderee
02/16/1966,03:18:29,6.6,0.05426356589147287,3.120254886290239e-05,elevee
02/17/1966,11:48:00,6.6,0.023255813953488372,0.0,faible
02/17/1966,12:42:59,5.7,0.023255813953488372,0.0,faible
02/18/1966,06:59:04,5.9,0.05426356589147287,0.003853650865826655,moderee
02/21/1966,00:22:29,6.0,0.023255813953488372,0.0,faible
02/21/1966,13:18:50,5.6,0.18604651162790697,0.0,faible
02/22/1966,05:02:39,6.9,0.05426356589147287,4.404720580662419e-05,elevee
02/25/1966,22:50:48,6.0,0.031007751937984496,0.0,faible
02/26/1966,00:33:50,5.6,0.05426356589147287,0.0,faible
02/28/1966,02:02:13,5.6,0.3373643410852713,5.710464435409173e-06,elevee
02/28/1966,13:35:42,6.0,0.06976744186046512,5.344282140590908e-07,faible
