Date,Time,Latitude,Longitude,Depth,Magnitude,population_impacted
02/28/1966,21:38:54,-25.983,-70.328,64.7,5.7,37244
03/03/1966,03:25:29,48.256,154.425,45.8,5.8,0
03/04/1966,23:58:56,-38.747,178.061,30.0,5.9,82526
03/06/1966,02:10:56,31.525,80.487,20.0,6.7,8454
03/06/1966,02:15:56,31.422,80.554,20.0,6.3,8454
03/07/1966,21:29:19,37.156,114.875,25.0,6.5,21447590
03/08/1966,01:13:43,-13.696,166.555,35.0,6.2,1286
03/08/1966,05:41:06,1.903,126.334,35.0,6.2,0
03/08/1966,06:00:07,1.742,126.337,35.0,5.6,0
03/08/1966,20:46:12,-19.991,-68.842,108.6,5.8,309008
03/12/1966,16:31:20,24.122,122.583,30.0,7.5,137671
03/17/1966,15:50:33,-21.149,-179.093,625.0,6.7,0
03/19/1966,17:16:39,-52.655,19.709,10.0,5.6,0
03/20/1966,01:42:53,0.622,29.863,29.3,6.6,157043
03/20/1966,09:04:25,-21.176,-174.429,25.0,5.6,105325
03/22/1966,08:11:37,37.535,115.039,20.0,6.2,22089563
03/22/1966,08:19:36,37.545,115.061,20.0,6.8,22089563
03/23/1966,00:04:36,23.973,122.938,49.5,6.2,1843
03/24/1966,08:27:51,-13.626,166.829,30.0,5.9,1286
03/26/1966,15:19:04,37.714,115.275,20.0,6.0,28243041
03/26/1966,18:14:22,37.798,115.096,20.0,5.9,21603163
03/27/1966,18:53:41,8.865,-83.467,25.0,5.7,405383
03/29/1966,02:17:40,23.869,142.248,80.0,6.0,0
03/29/1966,06:12:00,37.464,115.127,20.0,6.0,22030663
04/03/1966,04:43:39,36.617,141.121,48.5,5.7,2360738
04/04/1966,06:42:13,12.01,92.483,10.0,5.8,108500
04/06/1966,02:59:01,-45.685,96.003,10.0,6.3,0
04/06/1966,22:28:38,56.382,-154.604,26.2,5.6,73
04/07/1966,09:42:34,26.199,127.507,49.7,5.7,1325325
04/08/1966,01:46:46,51.301,157.703,46.6,6.2,2183
04/09/1966,02:42:09,9.409,-84.282,25.0,5.8,7940471
04/09/1966,14:49:25,-14.074,166.724,55.0,5.7,1286
04/10/1966,16:36:16,-31.452,-71.049,60.5,6.1,17573814
04/11/1966,17:17:30,18.113,-102.557,30.0,5.7,228160
04/12/1966,23:37:42,-38.231,-72.695,35.0,6.3,1106349
04/13/1966,03:35:18,-38.194,-73.198,45.0,5.9,900569
04/16/1966,01:27:14,56.896,-153.601,15.0,6.2,323
04/20/1966,16:26:19,18.82,147.221,25.0,6.0,0
04/20/1966,16:42:06,41.703,48.238,20.0,6.0,784193
04/21/1966,15:45:21,35.581,142.171,10.0,6.0,0
04/21/1966,17:36:48,35.6,142.037,10.9,5.9,0
04/22/1966,03:06:35,-37.656,-73.428,21.4,5.9,1165677
04/22/1966,23:27:21,57.271,-152.483,20.9,5.8,6788
04/23/1966,00:09:35,-0.711,122.191,20.0,6.5,110299
04/23/1966,08:56:43,-0.57,122.235,35.0,6.1,110299
05/01/1966,16:22:57,-8.341,-74.142,161.0,6.4,366625
05/02/1966,09:52:48,-5.996,149.735,35.0,6.1,86356
05/02/1966,16:39:45,-8.495,114.967,105.0,5.6,1219085
05/05/1966,14:21:23,24.298,122.595,50.0,6.2,363552
05/09/1966,00:42:56,34.425,26.455,25.0,6.0,43562
